class	precision	recall	f1-score	support
Approval notice	1.0	1.0	1.0	6.0
D.1	1.0	1.0	1.0	21.0
D.2	1.0	1.0	1.0	16.0
DM.1	1.0	0.9473684210526315	0.972972972972973	19.0
Judicial and political background check	1.0	1.0	1.0	11.0
Letter about procedure	0.8333333333333334	0.7142857142857143	0.7692307692307693	14.0
NAA cover	1.0	1.0	1.0	10.0
NAMA agreement	1.0	1.0	1.0	11.0
Other (Letter, Application Documents)	0.0	0.0	0.0	0.0
Other (Letter, Other)	0.0	0.0	0.0	1.0
Other (Other, Other)	0.0	0.0	0.0	0.0
Other (Structured Form, Administrative & Internal Processing Documents)	1.0	1.0	1.0	1.0
Other (Structured Form, Application Documents)	0.0	0.0	0.0	0.0
Other (Structured Form, Medical & Health Documents)	0.6	1.0	0.75	3.0
Other (Structured Form, Other)	0.0	0.0	0.0	0.0
Other (Structured Form, Qualification & Employment Proof)	0.0	0.0	0.0	2.0
Photo	1.0	1.0	1.0	24.0
Registration card	1.0	0.7142857142857143	0.8333333333333334	7.0
Report of selection and medical officers	1.0	0.7142857142857143	0.8333333333333334	7.0
Testimonial labour (Qualification & Employment Proof)	1.0	0.9215686274509803	0.9591836734693877	51.0
Testimonial medical form (Medical & Health Documents)	1.0	0.8	0.8888888888888888	5.0
Testimonial medical letter (Medical & Health Documents)	0.9166666666666666	1.0	0.9565217391304348	22.0
Testimonial status (Application Documents)	0.875	1.0	0.9333333333333333	7.0
micro avg	0.9525862068965517	0.9285714285714286	0.9404255319148936	238.0
macro avg	0.7054347826086957	0.6874693126678588	0.6911651323344546	238.0
weighted avg	0.9611694677871148	0.9285714285714286	0.941647089529286	238.0
